Image_ID	Target
ID_D451B62D091E7FC68A5EEB2E_ABW	2
ID_FE4D7E3806AFD2D39B843908_PBW	7
ID_FEABDBC6DA7C947379BC85C7_ABW	14
ID_85881125A7A83719CE8CC166_ABW	2
ID_85881125A7A83719CE8CC166_PBW	2
ID_366C1CA75A0D0F79B5879FEA_ABW	7
ID_EB71BD919F80D186703964BA_PBW	28
ID_620F8A392820573EE3053E4B_PBW	13
ID_1E8B3D5BFAF721B6298C2135_PBW	2
ID_2749DC08F84C047C52C55E59_PBW	8
ID_8D2285728AAB5AF368DB51B1_ABW	5
ID_ECD742E38D79111D90748F3F_PBW	31
ID_177E02B10E504388BA5A22B2_ABW	8
ID_CBE7D1C690F9E2585FEC2283_PBW	11
ID_BFED87060E501FF45B91B61D_PBW	4
ID_026EF4E47F82909410AB8F7C_PBW	53
ID_275749CF9EDFE056A0B75875_PBW	17
ID_CD76C095F0BFD0DED276674C_ABW	10
ID_CD76C095F0BFD0DED276674C_PBW	1
ID_F8A9A62F184739A4AE267703_PBW	3
ID_286B78E7B02A732002023B7F_ABW	6
ID_F2296B667D75D95EDBAA95A2_ABW	12
ID_DA4DAAFA844A06FA5179A51A_PBW	8
ID_12BD41A5EAB19AAC74DAD964_PBW	3
ID_5E6FAAA2FA1A647491B27D11_PBW	21
ID_38F4A0985139452F2DA83F6D_PBW	2
ID_B6DA9B9D3D9C151B433CF9C4_PBW	5
ID_4563D608C669207605DE0FF1_PBW	6
ID_DF3833808743F8E15EDF5F8C_PBW	5
ID_D253556A4324CB3A4AA8A4AC_PBW	2
ID_5D6989E13E51B0D6ADADAA43_PBW	2
ID_0B4F426E426D4FB6551DEDAD_PBW	1
ID_74B01443D45D300304C049B4_PBW	28
ID_747F742C2DFEDB2C1EC41B07_PBW	7
ID_631D793203C91CAD732792F8_PBW	1
ID_A0EE453B81F083B67D860060_PBW	3
ID_43674145E558255DAC36E2E9_PBW	2
ID_43674145E558255DAC36E2E9_ABW	1
ID_B04A4F975B18787913C8BF87_PBW	4
ID_001149C0DE05EA4941D966E0_ABW	5
ID_68002D9714D9D4CD3D00ACD0_PBW	16
ID_502B038848F1D8EAF9C0CDA3_PBW	15
ID_6467CE50CB51AE8D6F9863D7_PBW	6
ID_E791C60D08F822D3498319EF_PBW	36
ID_236E062C166DC6434E35DEE7_PBW	47
ID_1762A94E8085EFCB5D9FCB01_PBW	9
ID_47961491DEB3D2821AA9DDDD_PBW	19
ID_DFE74811C4F0D2CBF0F706C5_PBW	42
ID_DFE74811C4F0D2CBF0F706C5_ABW	1
ID_1E5CD811EA6EDD37A80893C0_PBW	4
ID_930879A14D88C0F50CC02530_ABW	6
ID_E884DA63F4552AAC9A699333_PBW	55
ID_5CB392AEFE19E53639BAE37E_PBW	7
ID_84B33461B14CB48CF26F37B7_PBW	8
ID_DD517FDAE21E81E2915B54D7_PBW	12
ID_6150EDE358A4287D32193AE7_PBW	14
ID_D668DE03660CA1D95F3CC3FD_ABW	6
ID_1183C00951F66F48FAAE0EC5_PBW	1
ID_8A43E36512023FB4A2F9D560_ABW	4
ID_515FD09EE6C130B124CC2348_PBW	2
ID_E76E5BB3C1BFCDDF85A890A3_PBW	30
ID_F9A06F4105F4AA283ABFF4A5_PBW	7
ID_6B822E30E78BD4301CC16C2E_PBW	13
ID_33E8743E0558D1010CF26EEB_PBW	5
ID_1FD2137BA1FC2B363B138E69_PBW	30
ID_432BDC43691F5ACE0EA59B14_ABW	6
ID_5699985D8DE4C265554E756D_PBW	1
ID_3DF4F1E1202D7251B92D95F2_PBW	4
ID_F7E9E3F2BFE7C8B71C3B29B3_PBW	1
ID_9A263B735FFD2D0F472CAC42_ABW	7
ID_78401F9C60760C655B4017E1_PBW	35
ID_2EA16011E701F897B9576555_PBW	2
ID_B340C2CDE3A8AC8A48ADF12A_PBW	12
ID_3C8795C636C75FE3974E19AC_PBW	25
ID_B1D03E264FB3D4B8EB0747F5_PBW	5
ID_B1D03E264FB3D4B8EB0747F5_ABW	1
ID_8C8DF47B081B2BC7B2321231_PBW	5
ID_08C315C22F2E189314DCE984_PBW	1
ID_4CA8CE5350E76ABA3A4D60C1_PBW	111
ID_4FE4A2B46988F94AA8D222D8_PBW	1
ID_50653ED7B70144B2AA721C0A_ABW	5
ID_1DDB26C95EC0C763BB078B47_PBW	6
ID_E97C4B23F24AD6A43733372C_PBW	58
ID_2A213FAF8E5965BC871AF7D8_PBW	141
ID_9F7F736D144DFEF5BE261764_PBW	6
ID_2F4FED3097B4F2B10DC3AFF2_ABW	3
ID_B9313E522CDF02E3801AA6C1_PBW	39
ID_521A048C3802060C171A2EC6_PBW	4
ID_A525ED614E4D5598D8C0B1AF_ABW	2
ID_F86BD677F6F1415C72CCC18C_PBW	82
ID_FE1F45FDCD36AC402068C129_PBW	4
ID_CF7906343D62E6CD3B535F9A_PBW	10
ID_1826F9E12E013C7004628D90_PBW	2
ID_A415A4FA346F172D5F04A225_PBW	10
ID_6792C0C237C7BD9A04C018BB_ABW	11
ID_6792C0C237C7BD9A04C018BB_PBW	1
ID_992CB979E5012339BFBB7D4C_PBW	4
ID_F3971BD171CC8E7C2299CAB8_PBW	2
ID_E5A00C0D9736BAD7E75F396C_PBW	35
ID_C57D36C15AB754652EEB111C_PBW	88
ID_E893063F15C3205CD4A24F67_PBW	3
ID_DB21CE095B169147F3F1A5C4_PBW	4
ID_62F229CE1A5BF1943EF29CC7_PBW	51
ID_8C5F374E6568F75C2DA556E0_PBW	5
ID_EC662A363433C0FEA2EED4E9_PBW	43
ID_7B55CEC7332676EEA4F1C780_PBW	4
ID_408B2C0271F6A6BB5943CC23_PBW	5
ID_0AF69BBF310CE8233B549C81_PBW	1
ID_43E6DEC0233F008E833EA41B_PBW	93
ID_6C41023113C8273CDCBE05AF_ABW	1
ID_3AF3F2FC03C4B0C8ACB44E1B_PBW	1
ID_488910E95520FD33BA3346DA_PBW	11
ID_16CEE4FBAB7B7D9E9DFE2EF7_PBW	6
ID_2B0E4FA719614B651AE1CC2C_PBW	4
ID_6D733ACD44969B2324D893EA_PBW	10
ID_E4EAC6EAC46E8701F7142414_PBW	1
ID_E3B2AEAF49541A75AAD3A2B3_PBW	89
ID_DE0535E86A980F64FF4B972F_PBW	21
ID_A84C600128A98A372D7E9607_PBW	5
ID_E54C3D342E8DC7FDD391BA07_ABW	1
ID_C16A1AF8F09890BE9E3558E2_PBW	1
ID_3F8373D05AD78BE32B959F57_PBW	26
ID_60205A9CACE59D751981E882_ABW	6
ID_F2FC72EC2F046E5E4BAF6C88_PBW	2
ID_8F3FAEBB67CF48137B6161D6_PBW	5
ID_BDEA7373757207534CB16E53_PBW	4
ID_1B5C6B2512DBF99B52B035E8_ABW	10
ID_2FF20375BDF123D57432A38E_ABW	5
ID_32968EC6BBFAA6F804998C7C_PBW	9
ID_6B6A57CB87237EE00D6E11A8_PBW	56
ID_A5C0A6F7C6AD8BBE6FCAEB5D_PBW	10
ID_667AED865E4992C3AB794E97_PBW	3
ID_D5DF615BA3B1B9F545299989_PBW	11
ID_8AD67B00CE187588F818191D_ABW	9
ID_380EC40AA0EA3C5BE15D6F72_PBW	33
ID_640FC3E82CDA70EC750D5E7F_PBW	7
ID_97DD42A864B2DBEF9F7306F8_PBW	15
ID_05D4E43871608441F7398E7B_PBW	72
ID_C272D67081AF8EB94C52D6F2_PBW	19
ID_662BCA8187EF892E49CF2AE2_PBW	5
ID_4E438CACCBCE8342D6677059_ABW	7
ID_67DDB3394EEE283B4C8F3D1E_PBW	6
ID_90AD532C3D8312499B734A32_PBW	15
ID_0365EC8BC8D9BC97EF3D4C27_ABW	7
ID_30E1A82F8103ACEBE8FA7320_PBW	33
ID_65E06DD51EC1DEC2AED0FF2E_PBW	1
ID_0AA2A275AD006477ADED5A44_PBW	6
ID_9790C718716E289A8E1EB2D7_PBW	22
ID_C1405D760B7BB74EF24E1192_PBW	1
ID_A291FED9AA2CAF68D23255A1_PBW	7
ID_27688B235CB08E6BED486745_ABW	5
ID_721AB46E6B6317846A36AA05_PBW	7
ID_D7AFDB8182C16855CC573104_PBW	1
ID_A5653D48FDAD9DE95A488625_ABW	1
ID_1045E7B4CE979194970304DF_ABW	3
ID_F5FF47DDDFFBA9CF74E2BAC9_ABW	4
ID_CC55E43708A539129E5E7EED_PBW	1
ID_17171678D0D5142C22049153_PBW	10
ID_0CC023C47FC2910C8C84C3E5_ABW	1
ID_ADB9C0155011E29DCF138EFE_PBW	19
ID_D4E4B5AE7D5D283001E092EE_PBW	28
ID_715544AEC2C2605816E860DF_PBW	9
ID_2D4DBCA26A62D83C73B170E0_ABW	5
ID_14BC206AA3CEF08B455C508B_PBW	3
ID_DEFF111BF0D78DF30FAD5570_PBW	3
ID_7D80C4C4D24DCBA71F0CCE3E_PBW	1
ID_42EC5C6E47F04742017512C4_PBW	1
ID_6634E4F456B582C4C085AD1D_PBW	3
ID_2004049B23C8A7B2A3150402_PBW	6
ID_82E0090CEA388EF85D6490E0_PBW	6
ID_C129DEC452C2096D253FB5EE_PBW	3
ID_72F96DBF7BF22E7BB1445E61_PBW	1
ID_F73AB7B153F2028AE790798C_PBW	10
ID_F73AB7B153F2028AE790798C_ABW	1
ID_1404C0B08C51362F91415C54_PBW	12
ID_DC2BA405172541D691B3AAB1_PBW	9
ID_3E05B17C6B015B171DBFFFE0_PBW	51
ID_61C9F3A7C89F107EEDA54DD0_PBW	8
ID_370E5B225F578A37A395F7BC_ABW	4
ID_1163CAA5A5367D12C111FD4F_PBW	20
ID_09E136109C23B88B04EB8E29_PBW	3
ID_326BE1A2801D1845403B868D_PBW	9
ID_7565FC55A564A4A7FE9AF6CF_PBW	9
ID_36765E5BC2CCA64901F3707D_PBW	24
ID_312E6C852DA7C826743EA2E9_PBW	51
ID_8006A1FB857496F0DB4BF8F2_PBW	5
ID_DE8CB44CCD38CEAD3DAA39F1_ABW	4
ID_A9D9A5071FD5C1429D5CF60F_PBW	3
ID_BAA2F04AD2D3EAB743EE4620_PBW	18
ID_491FC667FF3B38130BF8B3CF_PBW	8
ID_24B7029EB03BE65DB0A6AAEF_PBW	6
ID_57590C1122A12DB61072C081_PBW	3
ID_7EE43250A4A25F9D3F759FD1_PBW	3
ID_19D17E9DF2F21C382895D1CB_PBW	7
ID_A07538A3541C5741EBCF6D58_ABW	9
ID_64368A90BCF8A21882D51E91_PBW	20
ID_FBA91FE17C2D7D7AD91AF21A_PBW	5
ID_0750C0BA1651C570DCAF137D_ABW	4
ID_E22A8793B37208D484F0D41A_PBW	5
ID_5B8DFAB9AFBC65DBE6242014_PBW	20
ID_DF2213A5A6C9DD15DEBFDE87_PBW	6
ID_FC4D24BDF0A33E1821A1D75D_PBW	12
ID_854300C813EF71F0E77982FB_PBW	38
ID_B1B71D6B002227612935DCF8_ABW	10
ID_BE84A70FFE8FF8F063E0A3DD_ABW	9
ID_D4AE024259BE41903A21DE96_PBW	27
ID_D4AE024259BE41903A21DE96_ABW	1
ID_25B5849E09BF226D54651FD2_PBW	3
ID_ABC0D755FBC6555BA0731B81_PBW	1
ID_7CBCD9EB4E5E42AAA8E08EEA_PBW	33
ID_573CD4E74E7B71E5B959ECBE_PBW	6
ID_917BC59D07F58ED8EDCDEEF1_ABW	5
ID_3D5CF83A7DFF9BE1C636727A_PBW	69
ID_0D6BD8ACA475481CBFC653C3_PBW	38
ID_D6F7ED3B30BDE73381CE7467_ABW	9
ID_456FDEFBDA0D5FD190C2BD45_PBW	14
ID_240AFFFDDBC08A6B93C73DC2_PBW	3
ID_DE753D992080815EB268B130_ABW	1
ID_88FEDF7901B3764DEFEC3849_PBW	1
ID_280DD214970ECE184A7B466A_PBW	15
ID_C9B15C147EA4625A8AF733BD_ABW	8
ID_591F9FA0F8076B302B886F53_PBW	10
ID_591F9FA0F8076B302B886F53_ABW	1
ID_72D0435B35BAB2057D8B9E39_PBW	39
ID_12F572CADAC5FA9DD612D0D0_PBW	7
ID_42D52780D10E1F4C3FD5CAEF_PBW	7
ID_A408A3A9E93C39D53F676B95_PBW	136
ID_E1DE66C9225CD51E9A49217D_PBW	4
ID_0413DB49DF5CB54E1F84D197_PBW	3
ID_D60E9F7BF97591B033FDE524_PBW	17
ID_AA52770B61EAB7F53BDEE3A2_PBW	2
ID_64C3C8D8314D5634381A68B2_ABW	8
ID_34C3E2557B09012AC10ADB35_ABW	8
ID_1D36A1149E1CD9785B8FE449_PBW	1
ID_A7F7A3674C24C57D0A388886_PBW	4
ID_B29F44D477E281E557664F9F_ABW	1
ID_B29F44D477E281E557664F9F_PBW	1
ID_E5D55146FF26C80C503196F9_PBW	1
ID_C259798EF77D8C0A73A47A96_PBW	1
ID_0366EB01F865F78073AF9DAE_ABW	11
ID_3DE6B331BD946DB90CF04A97_PBW	7
ID_70045F4BF6CD841C58EAB820_ABW	5
ID_DD4A1471E045DD5636C28C49_ABW	1
ID_A65A732F8A210C5C0FD2A9E9_ABW	8
ID_B56A03AB73A23A3DB2DCF491_PBW	15
ID_2217F6E28C463CD063462331_ABW	9
ID_11FB2D19E5A2597E593B35F2_PBW	1
ID_0FAFA82E4110A512150545DA_PBW	8
ID_7BF5957015BE210B9ED54CA1_PBW	3
ID_99B3EBAC5AA4FC5A805DBF9C_ABW	5
ID_BEA2E1FDDDAC8569D2214051_PBW	155
ID_E604E6DB57A229EBC936FA29_PBW	96
ID_2D75A0428E226FCC103847C5_PBW	42
ID_273452B38A14D310772A6D5C_PBW	6
ID_B2F8773276446E19CC537030_PBW	9
ID_20BD0C79955AB4B2429D614E_ABW	3
ID_190D6BC74FE2E360B5262B7A_PBW	18
ID_8FB4D7DBA514D02896DC489B_PBW	1
ID_F1E00174AA25C290AEC891C2_PBW	3
ID_54384EC7E408BEE941FFC761_ABW	9
ID_34F08D22F660000E596C25F6_PBW	1
ID_FBD65FF0A1C443B1D5D81A62_PBW	16
ID_FBD65FF0A1C443B1D5D81A62_ABW	1
ID_DCA0AA4536E77D6785D3A2F2_PBW	12
ID_DCA0AA4536E77D6785D3A2F2_ABW	2
ID_95F7EF3995B321037678060A_PBW	3
ID_9606EB4DE68FDD56014B730A_PBW	3
ID_0E897FD5994DDB0A21B2785E_ABW	4
ID_0E897FD5994DDB0A21B2785E_PBW	1
ID_AB52E8F8BDCCFA6897F01694_PBW	15
ID_9095682BEE44400E184AFF21_ABW	9
ID_EC231763FDD2B3B59B850C37_PBW	13
ID_4C32EB24AEC808A72256B7AF_ABW	1
ID_444BE4354F56CE51E61CE071_PBW	2
ID_88EEEB17D7CA1AAC397394BD_PBW	79
ID_9AC76E6F79321D828CEB08AA_PBW	20
ID_001E574D805941D7F2CB0302_PBW	9
ID_01B722A2F876035752D90496_PBW	15
ID_C57B7FAFB60EB43A207D52E1_PBW	13
ID_2EF53EA26192723ABD019459_PBW	45
ID_2EF53EA26192723ABD019459_ABW	1
ID_EFF742C5D493275405722759_ABW	6
ID_45182648774DCA2B6C81B881_ABW	3
ID_86F9E16E3A917A2055D007D8_ABW	9
ID_BABDB693A8B8DBEC9E76F0A9_PBW	9
ID_AEF936996A52862364DAF829_ABW	7
ID_3ECF404B34F9026E7D44B5F5_PBW	1
ID_C52D688737E658F97AF617BC_PBW	31
ID_21023A942E80987937AD30F4_ABW	7
ID_E939B98D28A131C0A651A3C7_ABW	6
ID_E939B98D28A131C0A651A3C7_PBW	3
ID_930B5597DFEBC8CB56AEAEF3_PBW	7
ID_6233386E1AC9F6AF7EFD5F19_PBW	13
ID_FB62932660B1BE1666E82BD7_PBW	2
ID_1A8E793A738C07A01C08B729_PBW	4
ID_1CA7A1677EA5DCEC2BB69E01_PBW	5
ID_5FF7EF57F87EC052403E821B_ABW	6
ID_59F1FEE94D12A56A8C085F76_PBW	9
ID_5632A7CC015AF386C54E7171_PBW	1
ID_E742AF77D77D9DEE81612F1E_ABW	1
ID_4E406EDD48063B905DE67081_PBW	3
ID_452C9F774CFA3697240CEB8A_PBW	3
ID_F23F42F913A23F3794D8C30C_PBW	1
ID_90360B43B1283F60270B23ED_PBW	122
ID_595B3AD2E2A8EAC286CBE133_ABW	3
ID_595B3AD2E2A8EAC286CBE133_PBW	3
ID_9E814D30261F5CA47546F201_PBW	60
ID_121DFA17BC6FFCEED98EC635_PBW	3
ID_B1EE27DBDC928F4478278059_PBW	3
ID_6F7F9F89D2B8058365ECBECB_PBW	1
ID_BB741ED2F3F0B3D8EAC594B3_PBW	60
ID_39E85C43AF0A4EE0453056DC_ABW	4
ID_8CA273203288363C10394265_PBW	9
ID_D11E8B40D82489803D691007_ABW	3
ID_69DD08D98D066F1C0C870410_PBW	54
ID_DE2964C6510B3EB199FD4AE4_PBW	2
ID_E0D1A89F33E027B5F64AB6F5_PBW	5
ID_E0D1A89F33E027B5F64AB6F5_ABW	1
ID_3681605948CEA745E64CCCBC_PBW	3
ID_0F4869B1A79360A92628E770_ABW	1
ID_0F4869B1A79360A92628E770_PBW	1
ID_E346BF2E020032EF5879EA43_PBW	44
ID_64C1BC1A108F3074070B71D3_PBW	3
ID_4D7CE28026A31FEF600E19C9_PBW	12
ID_AEFC6E3EA34166F46E9D7C5B_PBW	1
ID_72EC95208B041664B8CFB23C_PBW	1
ID_385141A29DF88072C857C7AC_PBW	2
ID_A3054DEF9D6F14E43C894F68_PBW	76
ID_072992DF56CE5891CF3F56B2_PBW	23
ID_30671A08D8C2EB1AEFDF3EE0_ABW	6
ID_202F402176ADC0FA22253816_PBW	8
ID_788D71443F593316C230DABF_ABW	1
ID_788D71443F593316C230DABF_PBW	1
ID_F332CAB2AEE45ECBA74B4F83_PBW	1
ID_4273AD2076D5A0679B572142_PBW	21
ID_BBF9906BEF94B5D0D00E3985_PBW	8
ID_283AB954ECAC9EB600A0D9A0_ABW	3
ID_50CEB6CB62D2707A21979E42_PBW	34
ID_42135DDF4CDC6BB48080A83A_PBW	4
ID_87EA9B84BEEB32B166796A8A_PBW	7
ID_CA438D3D92628801A921DB82_PBW	44
ID_ED5D0B8957F621BF7E43A1F1_PBW	13
ID_EF486E1F77ABCD3846BD5E2A_ABW	4
ID_60E7F6D61CD05BE398C3BE3E_PBW	66
ID_BDE6981D72CFFB5E7868F767_PBW	9
ID_4A28773B9C01ED41DFA6835C_PBW	6
ID_2173F6B57F7F145168E0E97D_PBW	2
ID_FA4A58F7CFFA9147E97353FB_PBW	1
ID_ED88A097B00263E6776EB9DB_PBW	24
ID_0688B751B8C86BA9F7AFB295_PBW	77
ID_1BE7DD28AD4140F0A99CA4DE_PBW	3
ID_1BE7DD28AD4140F0A99CA4DE_ABW	1
ID_1A46C5B32FEC3CEB0397CB34_ABW	2
ID_1A46C5B32FEC3CEB0397CB34_PBW	2
ID_B025312965B1475DE026B89B_PBW	9
ID_16AFF43B666A4B7D1C2FCE66_ABW	5
ID_3244212329B4FF2E87D8C2A2_ABW	8
ID_618B12B7EC1EF4E406D6A059_PBW	3
ID_775E4A98B0F94514B7223F61_PBW	34
ID_160449535BABB8113E55A8D3_PBW	22
ID_A415297D808C4EB1E44956F8_PBW	18
ID_61226CFB15D0C98A679B2A7C_PBW	1
ID_44E48A8C59A1E571917D5FB1_PBW	2
ID_5CAAC1BA4DD6F1281A12CED5_PBW	1
ID_3ADE61F830063E6C2F8724DD_PBW	6
ID_A0F404A9AF9FF70FAE47FFE0_PBW	9
ID_A00BE9C453EB319D316D7EBB_PBW	2
ID_B2D7DB6FD0379DEE74381992_PBW	35
ID_B8834E2962BF161065695E44_PBW	40
ID_B83BF58FB15D8E23F361A7AE_ABW	2
ID_3D162ED4312CD48E5C378F6E_PBW	6
ID_46E06F67FBC37AF01A3AF027_PBW	21
ID_99117A898F87B4C58B3675C8_ABW	5
ID_FE31FD96928B543644EA4BF1_ABW	4
ID_1897ED9E316C0C74705F2E2F_ABW	3
ID_69E501485A9C65592542086C_PBW	13
ID_24ED8BDF1B74925AC28C6065_PBW	2
ID_80B8749E4DD8D1AEA86A94AA_PBW	60
ID_450CC570F18DABF6BA9A8C08_ABW	1
ID_32DF1A15BA61B22E54547B09_ABW	5
ID_9DE7F16214CC965038E65399_PBW	12
ID_3CE537A8C42732341D5ABF63_PBW	27
ID_380AF6AAE5B4E1855C0DE63F_PBW	18
ID_DDDAC04B371F5B226FC61ED0_PBW	1
ID_EE5548F2D58F3B2B2834F913_PBW	9
ID_857A4A6B600D47872F2F0E02_PBW	2
ID_687545070A6F40462CE9C03A_ABW	4
ID_FAA39DF72B8307BFB98BF26D_PBW	25
ID_26C8A78CECADFF3317E154ED_PBW	5
ID_18E4F79BD0CDE5A6B85D0C67_ABW	5
ID_B89E082EF3094BCBC124AC91_ABW	8
ID_DBACC79B8ACD886EE74CDF02_ABW	7
ID_FA7D6F63924E496A3EAE1BC6_PBW	7
ID_8EEF9D001A2E83BB63086F46_PBW	5
ID_D31BA7CDC13AEBA937DF813B_PBW	76
ID_28F529735CA22885B56D55F4_PBW	17
ID_28F529735CA22885B56D55F4_ABW	1
ID_AE21B44D1CBFD2D34159D119_ABW	1
ID_9D7A3F344483533842051C8E_PBW	4
ID_1FAFB3C7DA24559A1D7D300B_PBW	2
ID_B00BBFF0F6464ADBEFF44CB7_PBW	4
ID_871251964DACB137B2CB9CD7_PBW	46
ID_010742A987F5D2798A71B9C5_PBW	7
ID_556743BC3FDB2732D4BB8615_PBW	21
ID_7A50E84C9E76A10D46C10E04_PBW	1
ID_66022F194B1A07CE7D5F6021_ABW	6
ID_F853752ED8DA81885E8A7C15_PBW	21
ID_E894EEBE9BC9ACE353604EDE_PBW	23
ID_73739976B70535D1F928D659_PBW	2
ID_D43E71269F7A27F86BA545AB_PBW	25
ID_CB875F8BFD9C68DA88044CF3_ABW	5
ID_9DB58550F7A66F767562CB91_PBW	1
ID_5BD9478FB84EA7383FD9C945_PBW	113
ID_48580BD624D5BEFABFA33C6C_PBW	2
ID_05C40FE1B26351F1EE218F06_PBW	1
ID_D9607EE65AAD119568C93F65_PBW	12
ID_14CFA4F2E8E90A8C56F24DEF_ABW	6
ID_0DE9792099017AE750543EE3_PBW	3
ID_6456F788039726EAF6C110B8_PBW	3
ID_FCC1593A5650DA22B7FD16B1_PBW	3
ID_490313C16720900D8BDCBB93_ABW	1
ID_00B6B77332B132DBB58A7DC4_PBW	7
ID_9E9F0CBDE27F334EA88F67BB_ABW	4
ID_A62B52A647EA11442D182056_PBW	21
ID_C3DBB7CD6F267BF537ECC755_PBW	11
ID_A2CA30CFC23258ECFD4B7BEA_PBW	9
ID_9DE8409521220A226324E6AE_PBW	14
ID_2E5A124CE20EBF38BA47ACBE_PBW	6
ID_FE70B3F4C2F616A6D8EC7624_PBW	18
ID_1348196FA1EAF74F081A7B6F_PBW	8
ID_A045951F4B66389D7E32E824_PBW	11
ID_5313A904DEF984CF60CEA1BF_ABW	2
ID_5313A904DEF984CF60CEA1BF_PBW	1
ID_1C71E706B443040899EC3007_PBW	10
ID_F634B011409CA5556067B9DE_PBW	31
ID_CAA1F3F04A7D8EF6424AD0B6_PBW	30
ID_8E0D44D312DC57F2E7D2D238_PBW	6
ID_D9ED9D1041345FB18A9C7EA3_PBW	18
ID_E97AEA8ACC684639246E8075_PBW	8
ID_A784D7D07DF7EEC40E247318_PBW	8
ID_039D1D89BF411A7DB91A2113_PBW	3
ID_704958260E54D57556929D4F_PBW	32
ID_3379681905A00D58D183C8CD_PBW	16
ID_3CDE9B2DB52BF2A3E0ACE355_PBW	2
ID_88A21559BF670C9F720AEBD3_ABW	6
ID_88A21559BF670C9F720AEBD3_PBW	1
